Superficie (m2),Nombre Pieces,Nombre Chambres,Prix (Euros),Code Postal,Classe Energetique,Nombre Photos,Etage,Type de Bien,Type Vendeur,Terrasse,Parking,Cave,Ascenseur,Gardien,Renove,Box
23,2,1,260000,75010,7,10,-1,1,1,-1,-1,-1,-1,-1,-1,-1
41,1,0,262000,75010,0,4,-1,1,1,-1,-1,-1,1,-1,-1,-1
27,1,0,264000,75019,0,7,1,1,1,-1,-1,-1,1,1,-1,-1
33,2,1,265000,75018,4,10,-1,1,1,-1,-1,-1,-1,-1,-1,-1
21,1,0,265000,75005,5,4,1,1,1,-1,-1,-1,-1,-1,-1,-1
27,1,0,265000,75016,5,4,-1,1,1,-1,-1,1,-1,-1,-1,-1
25,2,0,265000,75019,0,8,1,1,1,-1,-1,-1,-1,-1,-1,-1
27,1,0,265000,75020,4,7,1,1,1,-1,-1,-1,-1,-1,-1,-1
27,1,0,266250,75013,3,4,-1,1,1,-1,-1,-1,-1,-1,-1,-1
25,1,0,267000,75011,6,6,-1,1,1,-1,-1,-1,-1,-1,-1,-1
27,2,1,268000,75018,6,7,2,1,1,-1,-1,1,1,-1,-1,-1
24,1,0,270000,75011,7,6,3,1,1,1,-1,1,1,1,-1,-1
20,1,0,270000,75003,5,10,3,1,1,-1,-1,1,1,1,-1,-1
26,2,1,270000,75011,0,5,2,1,1,-1,-1,-1,-1,-1,-1,-1
26,2,1,270000,75020,6,9,3,1,1,-1,-1,-1,-1,-1,-1,-1
25,1,0,273000,75011,7,10,-1,1,1,-1,-1,1,-1,-1,-1,-1
26,1,0,274000,75017,6,5,1,1,1,-1,-1,-1,-1,-1,-1,-1
28,1,0,275000,75020,6,7,4,1,1,-1,1,1,1,1,-1,-1
29,1,0,275000,75018,5,9,5,1,1,-1,-1,1,-1,-1,-1,-1
15,1,0,275600,75004,0,10,1,1,1,-1,-1,-1,-1,-1,-1,-1
24,2,1,275600,75012,6,7,1,1,1,-1,-1,-1,-1,-1,1,-1
28,2,1,277000,75019,5,8,-1,1,1,-1,-1,1,-1,-1,-1,-1
24,2,1,278000,75010,7,7,1,1,1,-1,-1,-1,-1,-1,-1,-1
24,1,0,280000,75015,0,5,4,1,1,-1,-1,-1,-1,1,1,-1
25,1,0,282100,75018,6,3,1,1,1,-1,-1,1,-1,-1,-1,-1
22,1,0,285000,75014,5,6,2,1,1,-1,-1,1,-1,-1,-1,-1
24,1,0,285000,75013,0,6,-1,1,1,-1,-1,1,1,1,-1,-1
25,2,1,285500,75013,0,7,2,1,1,-1,-1,1,1,1,-1,-1
34,2,1,288750,75018,0,9,4,1,1,-1,-1,1,-1,-1,-1,-1
31,2,1,289000,75020,0,10,4,1,1,-1,-1,-1,1,-1,-1,-1
22,1,0,289600,75008,0,9,6,1,1,-1,1,-1,1,1,-1,-1
37,1,0,290000,75010,3,7,-1,1,1,-1,-1,-1,-1,-1,1,-1
35,2,1,290000,75018,0,7,3,1,1,-1,-1,-1,-1,-1,-1,-1
25,1,0,290000,75015,5,7,-1,1,1,-1,-1,-1,-1,-1,-1,-1
31,1,0,290000,75019,4,10,5,1,1,-1,-1,-1,-1,-1,-1,-1
31,1,0,290000,75019,4,10,5,1,1,-1,-1,-1,-1,-1,1,-1
30,2,1,294000,75018,0,5,-1,1,1,-1,-1,1,-1,-1,-1,-1
